discord channel,solvency category,address,name,symbol,decimals,chainId,extensions/superTokenInfo/type,extensions/superTokenInfo/underlyingTokenAddress,extensions/bridgeInfo/1/tokenAddress,extensions/bridgeInfo/10/tokenAddress,extensions/bridgeInfo/100/tokenAddress,extensions/bridgeInfo/137/tokenAddress,extensions/bridgeInfo/42161/tokenAddress,logoURI,tags/0,extensions/bridgeInfo/56/tokenAddress,extensions/bridgeInfo/43113/tokenAddress,extensions/bridgeInfo/5/tokenAddress,extensions/bridgeInfo/69/tokenAddress,extensions/bridgeInfo/80001/tokenAddress,extensions/bridgeInfo/421611/tokenAddress,tags/1,extensions/bridgeInfo/43114/tokenAddress
,A,0x288398f314d472b82c44855f3f6ff20b633c2a97,Super USD Coin,USDCx,18,43114,Wrapper,0xb97ef9ef8734c71904d8002f8b6bc66dd9c48a6e,0x1ba8603da702602a8657980e825a6daa03dee93a,0x8430f084b939208e2eded1584889c9a66b90562f,0x1234756ccf0660e866305289267211823ae86eec,0xcaa7349cea390f89641fe306d93591f87595dc1f,0x1dbc1809486460dcd189b8a15990bca3272ee04e,https://raw.githubusercontent.com/superfluid-finance/assets/master/public/tokens/usdc/icon.svg,supertoken,,,,,,,,
,A,0xb97ef9ef8734c71904d8002f8b6bc66dd9c48a6e,USD Coin,USDC,6,43114,,,,,,,,https://raw.githubusercontent.com/superfluid-finance/assets/master/public/tokens/usdc/icon.svg,underlying,,,,,,,,
,A,0x7cd00c2b9a78f270b897457ab070274e4a17de83,Super Dai Stablecoin,DAI.ex,18,43114,Wrapper,0xd586e7f844cea2f87f50152665bcbc2c279d8d70,,,,,,https://raw.githubusercontent.com/superfluid-finance/assets/master/public/tokens/dai/icon.svg,supertoken,,,,,,,,
,A,0xd586e7f844cea2f87f50152665bcbc2c279d8d70,Dai Stablecoin,DAI.e,18,43114,,,,,,,,https://raw.githubusercontent.com/superfluid-finance/assets/master/public/tokens/dai/icon.svg,underlying,,,,,,,,
,A,0xbe916845d8678b5d2f7ad79525a62d7c08abba7e,Super AVAX,AVAXx,18,43114,Native Asset,,,,,,,https://raw.githubusercontent.com/superfluid-finance/assets/master/public/tokens/avax/icon.svg,supertoken,,0xffd0f6d73ee52c68bf1b01c8afa2529c97ca17f3,,,,,,
,A,0xdf37ee57b2efd215a6a8329d6b8b72064f09bbd0,Super TetherToken,USDtx,18,43114,Wrapper,0x9702230a8ea53601f5cd2dc00fdbc13d4df4a8c7,,,,,,https://raw.githubusercontent.com/superfluid-finance/assets/master/public/tokens/usdt/icon.png,supertoken,,,,,,,,
,A,0x9702230a8ea53601f5cd2dc00fdbc13d4df4a8c7,TetherToken,USDt,6,43114,,,,,,,,https://raw.githubusercontent.com/superfluid-finance/assets/master/public/tokens/usdt/icon.png,underlying,,,,,,,,
,A,0x1dbc1809486460dcd189b8a15990bca3272ee04e,Super USD Coin (Arb1),USDCx,18,42161,Wrapper,0xff970a61a04b1ca14834a43f5de4533ebddb5cc8,0x1ba8603da702602a8657980e825a6daa03dee93a,0x8430f084b939208e2eded1584889c9a66b90562f,0x1234756ccf0660e866305289267211823ae86eec,0xcaa7349cea390f89641fe306d93591f87595dc1f,,https://raw.githubusercontent.com/superfluid-finance/assets/master/public/tokens/usdc/icon.svg,supertoken,,,,,,,,0x288398f314d472b82c44855f3f6ff20b633c2a97
,A,0xff970a61a04b1ca14834a43f5de4533ebddb5cc8,USD Coin (Arb1),USDC,6,42161,,,,,,,,https://raw.githubusercontent.com/superfluid-finance/assets/master/public/tokens/usdc/icon.svg,underlying,,,,,,,,
,A,0x521677a61d101a80ce0fb903b13cb485232774ee,Super Dai Stablecoin,DAIx,18,42161,Wrapper,0xda10009cbd5d07dd0cecc66161fc93d7c9000da1,0x4f228bf911ed67730e4b51b1f82ac291b49053ee,0x7d342726b69c28d942ad8bfe6ac81b972349d524,,0x1305f6b6df9dc47159d12eb7ac2804d4a33173c2,,https://raw.githubusercontent.com/superfluid-finance/assets/master/public/tokens/dai/icon.svg,supertoken,,,,,,,,
